date,close
14/08/2009,83.58
17/08/2009,81.06
18/08/2009,82.12
19/08/2009,83.0
20/08/2009,84.09
21/08/2009,85.0
24/08/2009,84.5
25/08/2009,84.19
26/08/2009,84.0
27/08/2009,84.31
28/08/2009,82.76
31/08/2009,81.19
01/09/2009,79.16
02/09/2009,78.14
03/09/2009,78.46
04/09/2009,78.87
08/09/2009,80.9
09/09/2009,82.24
10/09/2009,83.85
11/09/2009,84.54
14/09/2009,83.86
15/09/2009,83.55
16/09/2009,90.7
17/09/2009,90.44
18/09/2009,90.28
21/09/2009,90.56
22/09/2009,93.75
23/09/2009,92.38
24/09/2009,92.11
25/09/2009,90.52
28/09/2009,92.21
29/09/2009,91.72
30/09/2009,93.36
01/10/2009,91.04
02/10/2009,89.85
05/10/2009,88.67
06/10/2009,90.91
07/10/2009,93.97
08/10/2009,95.22
09/10/2009,95.71
12/10/2009,93.6
13/10/2009,94.83
14/10/2009,97.46
15/10/2009,96.01
16/10/2009,95.32
19/10/2009,94.68
20/10/2009,94.98
21/10/2009,93.42
22/10/2009,93.45
23/10/2009,118.49
26/10/2009,124.64
27/10/2009,122.07
28/10/2009,121.64
29/10/2009,122.58
30/10/2009,118.81
02/11/2009,118.84
03/11/2009,118.37
04/11/2009,117.1
05/11/2009,120.61
06/11/2009,126.2
09/11/2009,126.67
10/11/2009,130.15
11/11/2009,129.91
12/11/2009,130.53
13/11/2009,132.97
16/11/2009,131.59
17/11/2009,131.25
18/11/2009,131.29
19/11/2009,128.99
20/11/2009,129.66
23/11/2009,133.0
24/11/2009,132.94
25/11/2009,134.03
27/11/2009,131.74
30/11/2009,135.91
01/12/2009,138.5
02/12/2009,142.25
03/12/2009,141.17
04/12/2009,137.58
07/12/2009,134.21
08/12/2009,134.11
09/12/2009,131.31
10/12/2009,135.38
11/12/2009,134.15
14/12/2009,131.38
15/12/2009,130.23
16/12/2009,128.36
17/12/2009,126.91
18/12/2009,128.48
21/12/2009,132.79
22/12/2009,133.75
23/12/2009,138.94
24/12/2009,138.47
28/12/2009,139.31
29/12/2009,139.41
30/12/2009,136.49
31/12/2009,134.52
04/01/2010,133.9
05/01/2010,134.69
06/01/2010,132.25
07/01/2010,130.0
08/01/2010,133.52
11/01/2010,130.31
12/01/2010,127.35
13/01/2010,129.11
14/01/2010,127.35
15/01/2010,127.14
19/01/2010,127.61
20/01/2010,125.78
21/01/2010,126.62
22/01/2010,121.43
25/01/2010,120.31
26/01/2010,119.48
27/01/2010,122.75
28/01/2010,126.03
29/01/2010,125.41
01/02/2010,118.87
02/02/2010,118.12
03/02/2010,119.1
04/02/2010,115.94
05/02/2010,117.39
08/02/2010,116.83
09/02/2010,118.03
10/02/2010,117.36
11/02/2010,120.09
12/02/2010,119.66
16/02/2010,117.53
17/02/2010,116.31
18/02/2010,118.08
19/02/2010,117.52
22/02/2010,118.01
23/02/2010,117.24
24/02/2010,119.72
25/02/2010,118.2
26/02/2010,118.4
01/03/2010,124.54
02/03/2010,125.53
03/03/2010,125.89
04/03/2010,128.53
05/03/2010,128.91
08/03/2010,130.11
09/03/2010,128.82
10/03/2010,130.51
11/03/2010,133.58
12/03/2010,131.82
15/03/2010,131.13
16/03/2010,131.79
17/03/2010,131.34
18/03/2010,132.76
19/03/2010,130.35
22/03/2010,130.47
23/03/2010,129.26
24/03/2010,128.04
25/03/2010,134.73
26/03/2010,135.06
29/03/2010,135.12
30/03/2010,136.58
31/03/2010,135.77
05/04/2010,131.49
06/04/2010,135.56
07/04/2010,134.87
08/04/2010,140.96
09/04/2010,140.06
12/04/2010,141.2
13/04/2010,140.16
14/04/2010,144.28
15/04/2010,145.82
16/04/2010,142.17
19/04/2010,142.43
20/04/2010,144.2
21/04/2010,146.43
22/04/2010,150.09
23/04/2010,143.63
26/04/2010,147.11
27/04/2010,142.02
28/04/2010,139.35
29/04/2010,141.73
30/04/2010,137.1
03/05/2010,137.49
04/05/2010,129.83
05/05/2010,130.93
06/05/2010,128.71
07/05/2010,124.98
10/05/2010,131.29
11/05/2010,130.46
12/05/2010,133.87
13/05/2010,131.47
14/05/2010,128.53
17/05/2010,128.91
18/05/2010,126.28
19/05/2010,124.59
20/05/2010,119.71
21/05/2010,122.72
24/05/2010,122.12
25/05/2010,124.86
26/05/2010,123.21
27/05/2010,126.7
28/05/2010,125.46
01/06/2010,123.24
02/06/2010,126.31
03/06/2010,128.76
04/06/2010,122.77
07/06/2010,122.01
08/06/2010,118.84
09/06/2010,117.91
10/06/2010,123.21
11/06/2010,123.03
14/06/2010,123.83
15/06/2010,126.84
16/06/2010,126.9
17/06/2010,125.89
18/06/2010,125.83
21/06/2010,122.55
22/06/2010,122.31
23/06/2010,121.45
24/06/2010,118.33
25/06/2010,121.0
28/06/2010,117.8
29/06/2010,108.61
